"Year","Pack","PackYear","WhelpDate","WhelpYday","PackSize","littersize","yrlsurv","Rain_PostDenningMonths","Rain_DenningMonths","mean_conception_temp","mean_max_conception_temp","mean_postdenning_temp","mean_max_postdenning_temp","mean_denning_temp","mean_max_denning_temp","mean_whelping_temp","max_whelping_temp","Rain_WhelpMonth","Rain_ConceptionMonth","WhelpDaysBeforeNadir","yearly_temp_mean","yearly_temp_max","denning_temp_mean","denning_temp_max","Sep_temp_mean","Sep_temp_max","May_temp_mean","May_temp_max","March_temp_mean","March_temp_max","May_rain","March_rain","prev_Sep_rain","Annual_rain","prev_yearly_temp_mean","prev_yearly_temp_max","prev_Annual_rain"
1989,"MBOMA","MBOMA-1989",1989-05-01,121,11,10,2,153.5,5.6,24.8913229024448,27.8345564084058,27.9937892144243,33.0289052692948,20.291257990999,26.4704577735856,23.3851292420183,28.2728313170895,3.7,128.1,80,26.628338828178,47.10895,NA,NA,NA,NA,23.1106249593782,33.99522,27.0002274830972,40.7264454145221,3.7,23.1,8,411,NA,NA,492
1990,"MBOMA","MBOMA-1990",1990-04-23,113,8,12,0,211.8,39.4,28.1813574444444,33.37276,28.1042587531055,33.0380786840644,23.2427500393773,28.7646425274725,26.4647558333333,30.24168,38.2,50.5,69,28.2943906652968,46.76127,23.001800994057,47.10895,29.5773547777778,47.10895,24.4913061021505,35.12472,29.546352983871,40.61138,1,49.8,0.2,287.7,26.628338828178,47.10895,411
1990,"MABABE","MABABE-1990",1990-05-01,121,NA,11,7,211.8,1.2,30.5236780555556,36.1627386666667,28.0981557129889,33.0347792837313,22.9226555796703,28.5982294505495,25.2428725,32.27283,1,50.5,61,28.2943906652968,46.76127,23.001800994057,47.10895,29.5773547777778,47.10895,24.4913061021505,35.12472,29.546352983871,40.61138,1,49.8,0.2,287.7,26.628338828178,47.10895,411
1990,"NIGHT","NIGHT-1990",1990-05-21,141,11,6,0,304.5,1.4,30.3932658333333,35.801722,28.0680400856338,33.0188109938923,22.5128893717949,28.259621978022,23.8938983333333,31.56312,1,49.8,41,28.2943906652968,46.76127,23.001800994057,47.10895,29.5773547777778,47.10895,24.4913061021505,35.12472,29.546352983871,40.61138,1,49.8,0.2,287.7,26.628338828178,47.10895,411
1991,"MABABE","MABABE-1991",1991-05-05,125,NA,NA,NA,166.9,0.8,31.0707238333333,37.131684,27.9502231711423,32.8132037645752,21.5466573501831,27.6941179120879,26.4146966666667,29.87276,0.2,92.7,36,27.7029533007763,47.42096,24.6956265980392,44.2669,30.1475039444444,44.2669,23.955821827957,34.80612,27.4905357258065,43.70773,0.2,79.3,0.6,448.3,28.2943906652968,46.76127,287.7
1991,"COLOR","COLOR-1991",1991-05-14,134,2,10,0,187.1,0.8,32.8203088333333,39.4248506666667,27.918457777796,32.782523053859,21.4456416084249,27.6609406593407,21.4488033333333,26.46209,0.2,79.3,27,27.7029533007763,47.42096,24.6956265980392,44.2669,30.1475039444444,44.2669,23.955821827957,34.80612,27.4905357258065,43.70773,0.2,79.3,0.6,448.3,28.2943906652968,46.76127,287.7
1991,"MBOMA","MBOMA-1991",1991-05-18,138,8,12,7,187.1,0.8,31.8974401111111,37.93579,27.9042930409831,32.7675154192115,21.4419993465201,27.6497694505494,22.9211983333333,28.54884,0.2,79.3,23,27.7029533007763,47.42096,24.6956265980392,44.2669,30.1475039444444,44.2669,23.955821827957,34.80612,27.4905357258065,43.70773,0.2,79.3,0.6,448.3,28.2943906652968,46.76127,287.7
1991,"STW","STW-1991",1991-05-22,142,6,9,0,187.1,0.8,29.1615416666667,33.85494,27.8924732624804,32.7483804441977,21.6039510598901,27.8650308791209,23.95013,31.96829,0.2,79.3,19,27.7029533007763,47.42096,24.6956265980392,44.2669,30.1475039444444,44.2669,23.955821827957,34.80612,27.4905357258065,43.70773,0.2,79.3,0.6,448.3,28.2943906652968,46.76127,287.7
1991,"NIGHT","NIGHT-1991",1991-05-25,145,12,14,0,187.1,0.8,27.6905223888889,31.5154273333333,27.8800191716975,32.7325440255414,21.7887498144689,27.9664807692308,23.7536908333333,31.20841,0.2,79.3,16,27.7029533007763,47.42096,24.6956265980392,44.2669,30.1475039444444,44.2669,23.955821827957,34.80612,27.4905357258065,43.70773,0.2,79.3,0.6,448.3,28.2943906652968,46.76127,287.7
1991,"GHOST","GHOST-1991",1991-05-29,149,4,5,5,187.1,0.8,25.9942701666667,29.4014946666667,27.8657399360877,32.7169249250416,22.0982177173993,28.2312942857143,21.7966975,26.44683,0.2,79.3,12,27.7029533007763,47.42096,24.6956265980392,44.2669,30.1475039444444,44.2669,23.955821827957,34.80612,27.4905357258065,43.70773,0.2,79.3,0.6,448.3,28.2943906652968,46.76127,287.7
1991,"XAK","XAK-1991",1991-06-11,162,2,6,1,232.9,2.9,25.8177162179487,30.808732,27.8315776274166,32.6738261077179,23.5356941413919,29.9084824175824,17.3108625,20.33016,0.6,79.3,-1,27.7029533007763,47.42096,24.6956265980392,44.2669,30.1475039444444,44.2669,23.955821827957,34.80612,27.4905357258065,43.70773,0.2,79.3,0.6,448.3,28.2943906652968,46.76127,287.7
1991,"MOGOG","MOGOG-1991",1991-06-25,176,9,10,5,232.9,2.9,26.0193394957265,31.0500953333333,27.7815376810904,32.6202779455858,25.5531194738095,31.736467032967,24.6745183333333,32.22669,0.6,1.8,-15,27.7029533007763,47.42096,24.6956265980392,44.2669,30.1475039444444,44.2669,23.955821827957,34.80612,27.4905357258065,43.70773,0.2,79.3,0.6,448.3,28.2943906652968,46.76127,287.7
1992,"NIGHT","NIGHT-1992",1992-04-29,120,17,11,0,169.7,10.9,35.0178127222222,40.2199026666667,27.3139930560137,31.9942137923376,23.1472316724359,28.9714530769231,25.5637908333333,29.72429,10.6,20.2,69,28.8114928875911,50.46082,24.6625271336601,43.09905,32.2789401388889,43.09905,25.5357369086021,37.31784,29.0062913172043,45.53454,0.2,45.8,2.3,223.4,27.7029533007763,47.42096,448.3
1992,"NG","NG-1992",1992-05-10,131,4,7,7,242.4,0.4,35.1978645555556,41.1725706666667,27.2909171225508,31.9601942865075,22.6920538500916,28.4782556043956,27.3664566666667,32.07188,0.2,20.2,58,28.8114928875911,50.46082,24.6625271336601,43.09905,32.2789401388889,43.09905,25.5357369086021,37.31784,29.0062913172043,45.53454,0.2,45.8,2.3,223.4,27.7029533007763,47.42096,448.3
1992,"MOGOG","MOGOG-1992",1992-05-16,137,5,10,11,242.4,0.4,34.7657878333333,41.0172606666667,27.2794347142128,31.9487495058301,22.428807815293,28.231573956044,24.9695033333333,30.29901,0.2,45.8,52,28.8114928875911,50.46082,24.6625271336601,43.09905,32.2789401388889,43.09905,25.5357369086021,37.31784,29.0062913172043,45.53454,0.2,45.8,2.3,223.4,27.7029533007763,47.42096,448.3
1992,"MBOMA","MBOMA-1992",1992-05-23,144,12,8,7,242.4,0.4,31.4267727777778,36.39252,27.2691935216809,31.9432738756247,22.4252233445971,28.2144551648352,23.511735,31.42442,0.2,45.8,45,28.8114928875911,50.46082,24.6625271336601,43.09905,32.2789401388889,43.09905,25.5357369086021,37.31784,29.0062913172043,45.53454,0.2,45.8,2.3,223.4,27.7029533007763,47.42096,448.3
1992,"JESS","JESS-1992",1992-05-27,148,2,6,3,242.4,0.4,28.0616928333333,31.7561326666667,27.2644046488325,31.9329213492504,22.5145863391026,28.3522347252747,24.4747166666667,29.89095,0.2,45.8,41,28.8114928875911,50.46082,24.6625271336601,43.09905,32.2789401388889,43.09905,25.5357369086021,37.31784,29.0062913172043,45.53454,0.2,45.8,2.3,223.4,27.7029533007763,47.42096,448.3
1992,"MABII","MABII-1992",1992-05-29,150,6,6,NA,242.4,0.4,26.2463848333333,29.3686086666667,27.2607835021547,31.9318745363687,22.6295324929487,28.4275325274725,23.1717308333333,28.20781,0.2,45.8,39,28.8114928875911,50.46082,24.6625271336601,43.09905,32.2789401388889,43.09905,25.5357369086021,37.31784,29.0062913172043,45.53454,0.2,45.8,2.3,223.4,27.7029533007763,47.42096,448.3
1992,"STW","STW-1992",1992-06-06,158,12,9,0,261.9,0.8,25.1368968333333,28.2021813333333,27.2264132259193,31.9062304941699,23.054699782326,28.7448961538462,23.468775,28.20297,0.1,45.8,31,28.8114928875911,50.46082,24.6625271336601,43.09905,32.2789401388889,43.09905,25.5357369086021,37.31784,29.0062913172043,45.53454,0.2,45.8,2.3,223.4,27.7029533007763,47.42096,448.3
1992,"GOMOTI","GOMOTI-1992",1992-06-15,167,5,9,5,261.9,0.8,26.8986085512821,30.8254833333333,27.1962104061895,31.8741565907829,24.0337488445971,29.746750989011,19.4936758333333,25.66175,0.1,10.6,22,28.8114928875911,50.46082,24.6625271336601,43.09905,32.2789401388889,43.09905,25.5357369086021,37.31784,29.0062913172043,45.53454,0.2,45.8,2.3,223.4,27.7029533007763,47.42096,448.3
1992,"CHIT","CHIT-1992",1992-06-19,171,7,9,NA,261.9,0.8,27.1416337179487,31.2460006666667,27.1864263843498,31.8653546640755,24.5552439947802,30.1885425274725,20.43764225,27.39861,0.1,10.6,18,28.8114928875911,50.46082,24.6625271336601,43.09905,32.2789401388889,43.09905,25.5357369086021,37.31784,29.0062913172043,45.53454,0.2,45.8,2.3,223.4,27.7029533007763,47.42096,448.3
1992,"GHOST","GHOST-1992",1992-06-29,181,7,10,NA,261.9,0.8,28.4462303333333,33.4548926666667,27.153747376854,31.8307140533037,25.671995517674,31.0607515384615,20.0477145,27.83352,0.1,10.6,8,28.8114928875911,50.46082,24.6625271336601,43.09905,32.2789401388889,43.09905,25.5357369086021,37.31784,29.0062913172043,45.53454,0.2,45.8,2.3,223.4,27.7029533007763,47.42096,448.3
1993,"MBOMA","MBOMA-1993",1993-05-13,133,11,12,1,330.1,4.8,27.7531420555556,32.5370193333333,27.3939084124611,32.1012848972793,22.3553334864469,27.8632410989011,26.9624883333333,31.98675,3.3,19.6,32,27.1826053121461,45.90471,25.1107308236928,38.24874,31.5277278611111,38.24874,25.050137016129,33.87904,27.8549086021505,36.80469,3.3,19.6,0.6,304.3,28.8114928875911,50.46082,223.4
1993,"NIGHT","NIGHT-1993",1993-05-18,138,13,14,0,330.1,4.8,28.2383977222222,33.2538193333333,27.3873535523834,32.1013315602443,22.2722556201465,27.6698237362637,21.8533975,27.49092,3.3,19.6,27,27.1826053121461,45.90471,25.1107308236928,38.24874,31.5277278611111,38.24874,25.050137016129,33.87904,27.8549086021505,36.80469,3.3,19.6,0.6,304.3,28.8114928875911,50.46082,223.4
1993,"STW","STW-1993",1993-06-06,157,16,12,5,345.9,5,27.7577181111111,32.1724926666667,27.364201181432,32.0697532370905,22.8161228454212,28.0789027472527,22.5843733333333,28.68069,0.4,19.6,8,27.1826053121461,45.90471,25.1107308236928,38.24874,31.5277278611111,38.24874,25.050137016129,33.87904,27.8549086021505,36.80469,3.3,19.6,0.6,304.3,28.8114928875911,50.46082,223.4
1993,"MOGOG","MOGOG-1993",1993-06-07,158,12,12,7,345.9,5,27.5673681666667,31.9661246666667,27.3635196827276,32.0691378289839,22.8747911512821,28.1396125274725,23.2055541666667,29.74158,0.4,19.6,7,27.1826053121461,45.90471,25.1107308236928,38.24874,31.5277278611111,38.24874,25.050137016129,33.87904,27.8549086021505,36.80469,3.3,19.6,0.6,304.3,28.8114928875911,50.46082,223.4
1993,"NEGRO","NEGRO-1993",1993-06-16,167,10,12,8,345.9,5,24.7238108974359,27.8616366666667,27.3602142153946,32.0564664019989,23.7794011723443,28.9467974725275,19.7153073333333,28.54402,0.4,20.7,-2,27.1826053121461,45.90471,25.1107308236928,38.24874,31.5277278611111,38.24874,25.050137016129,33.87904,27.8549086021505,36.80469,3.3,19.6,0.6,304.3,28.8114928875911,50.46082,223.4
1993,"GOMOTI","GOMOTI-1993",1993-06-24,175,10,6,0,345.9,5,24.8635175555556,28.2182793333333,27.3286268019206,32.0194973070516,24.7535603827839,29.7645287912088,19.2727106666667,26.07424,0.4,20.7,-10,27.1826053121461,45.90471,25.1107308236928,38.24874,31.5277278611111,38.24874,25.050137016129,33.87904,27.8549086021505,36.80469,3.3,19.6,0.6,304.3,28.8114928875911,50.46082,223.4
1994,"LUNA","LUNA-1994",1994-05-01,121,10,11,6,116.6,0.6,26.9867225,31.676738,27.1137772150365,31.676544469739,21.3649948360806,26.8460927472527,26.1234725,31.62824,0.3,70.1,60,27.6343851760274,46.85453,24.5336271389978,39.49879,30.0754775277778,39.49879,24.5323741129032,34.2519,30.5827722311828,40.6125,0.3,16,3.5,291,27.1826053121461,45.90471,304.3
1994,"GOMOTI","GOMOTI-1994",1994-05-17,137,7,12,NA,165.8,0.6,30.0754273888889,35.2621093333333,27.0742629886807,31.6321205108273,21.2673349826007,26.6404414285714,25.2665825,30.61698,0.3,16,44,27.6343851760274,46.85453,24.5336271389978,39.49879,30.0754775277778,39.49879,24.5323741129032,34.2519,30.5827722311828,40.6125,0.3,16,3.5,291,27.1826053121461,45.90471,304.3
1994,"DANG","DANG-1994",1994-06-02,153,NA,NA,NA,165.8,0.3,30.5772074444444,36.0926446666667,27.0386755139907,31.5988889006108,21.8738473086081,27.1850865934066,20.7075483333333,25.21149,0.3,16,28,27.6343851760274,46.85453,24.5336271389978,39.49879,30.0754775277778,39.49879,24.5323741129032,34.2519,30.5827722311828,40.6125,0.3,16,3.5,291,27.1826053121461,45.90471,304.3
1994,"NEGRO","NEGRO-1994",1994-06-05,156,19,13,4,222.6,0.6,30.3216096111111,35.8935673333333,27.0315861506741,31.5918021210439,22.0949709166667,27.37481,21.3399208333333,29.76518,0.3,16,25,27.6343851760274,46.85453,24.5336271389978,39.49879,30.0754775277778,39.49879,24.5323741129032,34.2519,30.5827722311828,40.6125,0.3,16,3.5,291,27.1826053121461,45.90471,304.3
1994,"STW","STW-1994",1994-06-06,157,14,11,2,222.6,0.6,30.3578913333333,35.7359413333333,27.0290451618715,31.5908743475847,22.1825276291209,27.4203078021978,20.9126125,25.26721,0.3,16,24,27.6343851760274,46.85453,24.5336271389978,39.49879,30.0754775277778,39.49879,24.5323741129032,34.2519,30.5827722311828,40.6125,0.3,16,3.5,291,27.1826053121461,45.90471,304.3
1994,"MOGOG","MOGOG-1994",1994-06-07,158,17,13,9,222.6,0.6,30.4766095641026,35.7951073333333,27.0261885248181,31.5885992059967,22.2850883617216,27.5244625274725,19.3774258333333,23.14346,0.3,16,23,27.6343851760274,46.85453,24.5336271389978,39.49879,30.0754775277778,39.49879,24.5323741129032,34.2519,30.5827722311828,40.6125,0.3,16,3.5,291,27.1826053121461,45.90471,304.3
1994,"LUCK","LUCK-1994",1994-06-15,166,6,NA,0,222.6,0.6,29.6380102307692,34.436002,27.0054822440481,31.5652420210994,23.0857844304029,28.3705871428571,19.6201078333333,24.23204,0.3,5.5,15,27.6343851760274,46.85453,24.5336271389978,39.49879,30.0754775277778,39.49879,24.5323741129032,34.2519,30.5827722311828,40.6125,0.3,16,3.5,291,27.1826053121461,45.90471,304.3
1995,"NEGRO","NEGRO-1995",1995-05-03,123,30,14,NA,287.5,7.1,30.1552513333333,35.2596873333333,26.3491318404392,30.7071234536369,21.6513882212454,26.7532643956044,21.7124533333333,23.66046,7,49.2,45,28.3825130088128,49.39841,24.226131209695,42.89999,31.1161571944444,42.89999,23.033651155914,31.3774,29.5930578494624,39.63231,7,56.8,0.3,325.5,27.6343851760274,46.85453,291
1995,"KIPLINGS","KIPLINGS-1995",1995-05-16,136,7,9,NA,393.4,7.1,31.3963308333333,35.5749006666667,26.3080600691547,30.6636585785675,21.619976582967,26.9614452747253,23.6916216666667,27.43354,7,56.8,32,28.3825130088128,49.39841,24.226131209695,42.89999,31.1161571944444,42.89999,23.033651155914,31.3774,29.5930578494624,39.63231,7,56.8,0.3,325.5,27.6343851760274,46.85453,291
1995,"DANG","DANG-1995",1995-05-30,150,15,16,9,393.4,7.1,30.520695,35.359406,26.2441071712277,30.6000083064964,22.6063777001831,28.2870586813187,23.7402758333333,28.10079,7,56.8,18,28.3825130088128,49.39841,24.226131209695,42.89999,31.1161571944444,42.89999,23.033651155914,31.3774,29.5930578494624,39.63231,7,56.8,0.3,325.5,27.6343851760274,46.85453,291
1995,"STW","STW-1995",1995-06-01,152,9,10,NA,393.4,0.1,29.6397665555556,34.335274,26.2339900895138,30.5894998334259,22.7608412441392,28.4274796703297,21.9554075,27.3043,0,56.8,16,28.3825130088128,49.39841,24.226131209695,42.89999,31.1161571944444,42.89999,23.033651155914,31.3774,29.5930578494624,39.63231,7,56.8,0.3,325.5,27.6343851760274,46.85453,291
1995,"MOGOG","MOGOG-1995",1995-06-09,160,14,10,NA,407.2,2.3,25.0689076153846,28.5808753333333,26.1924124750866,30.5464459744586,23.519295575641,29.3163228571429,21.3032616666667,26.19951,0,56.8,8,28.3825130088128,49.39841,24.226131209695,42.89999,31.1161571944444,42.89999,23.033651155914,31.3774,29.5930578494624,39.63231,7,56.8,0.3,325.5,27.6343851760274,46.85453,291
1995,"MOPANE","MOPANE-1995",1995-06-16,167,4,8,NA,407.2,2.3,25.6959031153846,29.0796626666667,26.1622302582626,30.5072073736813,24.2189356195971,29.9611007692308,18.3199480833333,22.98741,0,10.6,1,28.3825130088128,49.39841,24.226131209695,42.89999,31.1161571944444,42.89999,23.033651155914,31.3774,29.5930578494624,39.63231,7,56.8,0.3,325.5,27.6343851760274,46.85453,291
1996,"KAHLUA","KAHLUA-1996",1996-05-21,142,NA,NA,NA,318.5,11.7,27.0265709444444,31.2670673333333,26.0045115973825,30.2623890061077,21.0199933985348,26.3260931868132,22.7938966666667,27.47239,10.5,13.9,48,26.7032711842441,45.26025,24.4002817911765,43.65648,30.4749301388889,43.65648,23.202447016129,31.95695,26.9137947311828,35.10385,10.5,13.9,2.2,420.4,28.3825130088128,49.39841,325.5
1996,"DANG","DANG-1996",1996-05-30,151,NA,NA,NA,318.5,11.7,27.0589565,31.646122,25.9596036765052,30.2128133092726,21.7445512556777,27.0660752747253,21.82083,27.16294,10.5,13.9,39,26.7032711842441,45.26025,24.4002817911765,43.65648,30.4749301388889,43.65648,23.202447016129,31.95695,26.9137947311828,35.10385,10.5,13.9,2.2,420.4,28.3825130088128,49.39841,325.5
1996,"N.MAX","N.MAX-1996",1996-06-01,153,NA,NA,NA,318.5,1.2,27.1548058888889,31.6394513333333,25.9535920463923,30.2066116601888,21.8185088838828,27.1242831868132,24.9235533333333,33.26425,0.1,13.9,37,26.7032711842441,45.26025,24.4002817911765,43.65648,30.4749301388889,43.65648,23.202447016129,31.95695,26.9137947311828,35.10385,10.5,13.9,2.2,420.4,28.3825130088128,49.39841,325.5
1996,"MAXWEE","MAXWEE-1996",1996-07-02,184,NA,NA,NA,429.1,3.7,26.1897607222222,30.7695333333333,25.8888217747377,30.1456801610217,24.9860969424908,30.2247774725275,17.50233575,25.19718,1,13.5,6,26.7032711842441,45.26025,24.4002817911765,43.65648,30.4749301388889,43.65648,23.202447016129,31.95695,26.9137947311828,35.10385,10.5,13.9,2.2,420.4,28.3825130088128,49.39841,325.5
1997,"N.MOG","N.MOG-1997",1997-05-20,140,5,11,0,288.3,11.4,26.0743003333333,29.7838133333333,26.2695323825616,30.6355075013881,20.6498010058608,25.5696534065934,21.7603483333333,28.14462,10.5,110.7,9,25.6906051480365,45.96173,23.6789343252723,41.38853,29.6159367777778,41.38853,20.4764902096774,30.28213,25.0983229569892,34.55943,10.5,110.7,2.6,437.6,26.7032711842441,45.26025,420.4
